institute,model,component,property,value
MOHC,HADGEM2-CC,Ocean Bio-Geo Chemistry > Gas Exchange,Standard Properties > Description,"The gasses exchanged between the ocean and atmosphere are DMS (only ocean to air) and CO2 (both directions). Oxygen is not passed between ocean and atmosphere although it exists as a tracer in both models and the ocean tracer has a surface boundary condition as described in the preceding section Ocean Bio Boundary Forcing. For both DMS and CO2 the air-sea flux is calculated each (ocean) time-step in the ocean model and applied to the appropriate ocean tracers; the daily mean flux is passed through the coupler (once a day) to the atmospheric model. In the case of DMS there is no attempt to model the sulphur cycle in the ocean, a simple parameterisation being used to calculate the surface ocean concentration of DMS and thence the flux out of the ocean. The parameterisation used is that of Simo and Dachs (2002), which sets the DMS concentration as a function of chlorophyll divided by the mixed layer depth while that ratio is greater than 0.02 mg-Chla/m^2, and as a function of the log of the mixed layer depth otherwise. However, here in the latter case if the mixed layer is more than 182.536 m the scheme of Aranami & Tsunogai (2004), which make the DMS concentration inversely proportional to the mixed layer depth, is used to avoid negative concentrations. In all cases the chlorophyll is calculated from the non-diatom phytoplankton concentration only, and the mixed layer depth is calculated according to the 0.5C temperature criterion. The Schmidt number for DMS is calculated according to Saltzman et al. (1993). In the case of CO2 the atmospheric pCO2 (time-varying and prescribed according to CMIP5 protocols) is converted from partial pressure (in ppmv) to Moles-C/kg-seawater using the solubility parameterisation of Weiss (1974). The concentration of carbonic acid ([H2CO3], taken to include dissolved CO2 gas) is calculated from the model DIC and TAlk concentrations and the model temperature and salinity. The definition of TAlk used is [HCO3(-)] + 2[CO3(2-)] + [B(OH)4(-)] + [OH(-)] [H(+)], and so the calculation of [H(+)] and then [H2CO3] requires the constants K1, K2, Kb and Kw. The formulae for all these constants can be found in DOE (1994), with the K1 and K2 constants coming originally from Roy et al. (1993) and the boric acid dissociation constant Kb from Dickson (1990) The total boron concentration is linked to salinity as in Peng et al. (1987). [H(+)] is found using the iterative secant method of similar triangles following Bacastow (1981). The Schmidt number for CO2 is calculated following Table A1 in Wanninkhof (1992), which itself uses experimental results from Jahne et al. (1987). The wind-speed dependence of the piston velocity follows Wanninkhof (1992) and uses the 0.31 coefficient value."
MOHC,HADGEM2-ES,Ocean Bio-Geo Chemistry > Gas Exchange,Standard Properties > Description,"The gasses exchanged between the ocean and atmosphere are DMS (only ocean to air) and CO2 (both directions). Oxygen is not passed between ocean and atmosphere although it exists as a tracer in both models and the ocean tracer has a surface boundary condition as described in the preceding section Ocean Bio Boundary Forcing. For both DMS and CO2 the air-sea flux is calculated each (ocean) time-step in the ocean model and applied to the appropriate ocean tracers; the daily mean flux is passed through the coupler (once a day) to the atmospheric model. In the case of DMS there is no attempt to model the sulphur cycle in the ocean, a simple parameterisation being used to calculate the surface ocean concentration of DMS and thence the flux out of the ocean. The parameterisation used is that of Simo and Dachs (2002), which sets the DMS concentration as a function of chlorophyll divided by the mixed layer depth while that ratio is greater than 0.02 mg-Chla/m^2, and as a function of the log of the mixed layer depth otherwise. However, here in the latter case if the mixed layer is more than 182.536 m the scheme of Aranami & Tsunogai (2004), which make the DMS concentration inversely proportional to the mixed layer depth, is used to avoid negative concentrations. In all cases the chlorophyll is calculated from the non-diatom phytoplankton concentration only, and the mixed layer depth is calculated according to the 0.5C temperature criterion. The Schmidt number for DMS is calculated according to Saltzman et al. (1993). In the case of CO2 the atmospheric pCO2 (time-varying and prescribed according to CMIP5 protocols) is converted from partial pressure (in ppmv) to Moles-C/kg-seawater using the solubility parameterisation of Weiss (1974). The concentration of carbonic acid ([H2CO3], taken to include dissolved CO2 gas) is calculated from the model DIC and TAlk concentrations and the model temperature and salinity. The definition of TAlk used is [HCO3(-)] + 2[CO3(2-)] + [B(OH)4(-)] + [OH(-)] [H(+)], and so the calculation of [H(+)] and then [H2CO3] requires the constants K1, K2, Kb and Kw. The formulae for all these constants can be found in DOE (1994), with the K1 and K2 constants coming originally from Roy et al. (1993) and the boric acid dissociation constant Kb from Dickson (1990) The total boron concentration is linked to salinity as in Peng et al. (1987). [H(+)] is found using the iterative secant method of similar triangles following Bacastow (1981). The Schmidt number for CO2 is calculated following Table A1 in Wanninkhof (1992), which itself uses experimental results from Jahne et al. (1987). The wind-speed dependence of the piston velocity follows Wanninkhof (1992) and uses the 0.31 coefficient value."
CSIRO-BOM,ACCESS1.0,Atmosphere > Orography & Waves,Standard Properties > Description,The gravity wave drag (GWD) scheme is that of Webster et al. (2003) and includes low-level flow blocking. The actual gravity wave drag is that due to air flowing over orography; it is deposited where wave breaking is diagnosed (typically in the lower stratosphere). The remaining drag (about 80 per cent of the total) is attributed to flow around the orography and is deposited uniformly between the surface and the subgridscale orographic height.
CSIRO-BOM,ACCESS1.3,Atmosphere > Orography & Waves,Standard Properties > Description,The gravity wave drag (GWD) scheme is that of Webster et al. (2003) and includes low-level flow blocking. The actual gravity wave drag is that due to air flowing over orography; it is deposited where wave breaking is diagnosed (typically in the lower stratosphere). The remaining drag (about 80 per cent of the total) is attributed to flow around the orography and is deposited uniformly between the surface and the subgridscale orographic height.
MOHC,HADGEM2-A,Atmosphere > Orography & Waves,Standard Properties > Description,The gravity wave drag (GWD) scheme is that of Webster et al. (2003) and includes low-level flow blocking. The actual gravity wave drag is that due to air flowing over orography; it is deposited where wave breaking is diagnosed (typically in the lower stratosphere). The remaining drag (about 80 per cent of the total) is attributed to flow around the orography and is deposited uniformly between the surface and the subgridscale orographic height.
MOHC,HADGEM2-ES,Atmosphere > Orography & Waves,Standard Properties > Description,The gravity wave drag (GWD) scheme is that of Webster et al. (2003) and includes low-level flow blocking. The actual gravity wave drag is that due to air flowing over orography; it is deposited where wave breaking is diagnosed (typically in the lower stratosphere). The remaining drag (about 80 per cent of the total) is attributed to flow around the orography and is deposited uniformly between the surface and the subgridscale orographic height.
INPE,HADGEM2-ES,Atmosphere > Orography & Waves,Standard Properties > Description,The gravity wave drag (GWD) scheme is that of Webster et al. (2003) and includes low-level flow blocking. The actual gravity wave drag is that due to air flowing over orography; it is deposited where wave breaking is diagnosed (typically in the lower stratosphere). The remaining drag (about 80 per cent of the total) is attributed to flow around the orography and is deposited uniformly between the surface and the subgridscale orographic height.
MOHC,HADGEM2-CC,Atmosphere > Orography & Waves,Standard Properties > Description,"The gravity wave drag (GWD) scheme is that of Webster et al. (2003) and includes low-level flow blocking. The actual gravity wave drag is that due to air flowing over orography; it is deposited where wave breaking is diagnosed (typically in the lower stratosphere). The remaining drag (about 80 per cent of the total) is attributed to flow around the orography and is deposited uniformly between the surface and the subgridscale orographic height.  Any remaining flux is ""fluxed to space"" at 40km (i.e. not conserved)."
CMCC,CMCC-CESM,Atmosphere > Dynamical Core,Scientific Properties > Horizontal Diffusion > Scheme Name,The horizontal diffusion is formulated in spectral space using a numerically convenient form of scale selective diffusion with coefficients determined empirically to ensure a realistic behavior of the resolved scales. The horizontal diffusion is not applied to zonal wavenumbers.
INPE,HADGEM2-ES,Sea Ice > Dynamics,Standard Properties > Description,"The ice velocities are computed using the Elastic-Viscous-Plastic dynamics of Hunke and Dukowitz (1997). The ice momentum and stress state equations are solved to balance the effect of wind stress, ocean currents, Coriolis term and the internal ice stresses while maintaining a viscous plastic ice rheology. Ice is allowed to flow across the North Pole despite the ocean model having a polar island. Ice is advected using a first-order upwind advection scheme. The mechanical redistribution (or ridging scheme) of the Los Alamos CICE model (Hunke and Lipscomb, 2004) is also included, which can convert thinner ice to thicker ice within a grid box."
MOHC,HADGEM2-CC,Sea Ice > Dynamics,Standard Properties > Description,"The ice velocities are computed using the Elastic-Viscous-Plastic dynamics of Hunke and Dukowitz (1997). The ice momentum and stress state equations are solved to balance the effect of wind stress, ocean currents, Coriolis term and the internal ice stresses while maintaining a viscous plastic ice rheology. Ice is allowed to flow across the North Pole despite the ocean model having a polar island. Ice is advected using a first-order upwind advection scheme. The mechanical redistribution (or ridging scheme) of the Los Alamos CICE model (Hunke and Lipscomb, 2004) is also included, which can convert thinner ice to thicker ice within a grid box."
MOHC,HADGEM2-ES,Sea Ice > Dynamics,Standard Properties > Description,"The ice velocities are computed using the Elastic-Viscous-Plastic dynamics of Hunke and Dukowitz (1997). The ice momentum and stress state equations are solved to balance the effect of wind stress, ocean currents, Coriolis term and the internal ice stresses while maintaining a viscous plastic ice rheology. Ice is allowed to flow across the North Pole despite the ocean model having a polar island. Ice is advected using a first-order upwind advection scheme. The mechanical redistribution (or ridging scheme) of the Los Alamos CICE model (Hunke and Lipscomb, 2004) is also included, which can convert thinner ice to thicker ice within a grid box."
MOHC,HADGEM2-A,Land Surface > Vegetation,Standard Properties > Description,"The land surface scheme represents 5 vegetation functional types (PFTs): broadleaf and needleleaf tree, C3 and C4 grass and shrub, the fractions of which can be specified or simulated by the HadGEM2 model (Cox 2001).  For HadGEM2-A they are specified.  The representation of photosynthesis is that of Collatz et al. (1991) for C3-type photosynthesis and Collatz et al. (1992) for C4-type photosynthesis, as described in Cox et al. (1999). Photosynthesis is also directly sensitive to the leaf nitrogen concentrations (specified) and the leaf temperature. The phenological status alters the leaf area index (LAI) of the canopy and is soley a function of leaf temperature (with pre-specified tolerances to low temperatures) and includes the effects of leaf dropping and budburst in a way corresponding to a chill-day parametrization. It also includes a representation of the vertical profiles of light and nitrogen through the canopy (Mercardo et al., 2007)."
MOHC,HADCM3,Land Surface > Vegetation,Standard Properties > Description,"The land surface scheme represents 5 vegetation functional types (PFTs): broadleaf and needleleaf tree, C3 and C4 grass and shrub, the fractions of which can be specified or simulated by the model (Cox 2001). When simulated, fractional coverage of each PFT evolves due to competition between types based on carbon balance and available land area and is represented by Lotka-Voltera competition equations. As it does not explicitly simulate crop growth, crop areas are treated as natural grass. The impact of land-use is implemented by removing trees and shrubs in regions specified as agriculture. The representation of photosynthesis is that of Collatz et al. (1991) for C3-type photosynthesis and Collatz et al. (1992) for C4-type photosynthesis, as described in Cox et al. (1999). Photosynthesis is also directly sensitive to the leaf nitrogen concentrations (specified) and the leaf temperature. The phenological status alters the leaf area index (LAI) of the canopy and is soley a function of leaf temperature (with pre-specified tolerances to low temperatures) and includes the effects of leaf dropping and budburst in a way corresponding to a chill-day parametrization."
CSIRO-BOM,ACCESS1.0,Land Surface > Vegetation,Standard Properties > Description,"The land surface scheme represents 5 vegetation functional types (PFTs): broadleaf and needleleaf tree, C3 and C4 grass and shrub, the fractions of which can be specified or simulated by the model (Cox 2001). When simulated, fractional coverage of each PFT evolves due to competition between types based on carbon balance and available land area and is represented by Lotka-Voltera competition equations. As it does not explicitly simulate crop growth, crop areas are treated as natural grass. The impact of land-use is implemented by removing trees and shrubs in regions specified as agriculture. The representation of photosynthesis is that of Collatz et al. (1991) for C3-type photosynthesis and Collatz et al. (1992) for C4-type photosynthesis, as described in Cox et al. (1999). Photosynthesis is also directly sensitive to the leaf nitrogen concentrations (specified) and the leaf temperature. The phenological status alters the leaf area index (LAI) of the canopy and is soley a function of leaf temperature (with pre-specified tolerances to low temperatures) and includes the effects of leaf dropping and budburst in a way corresponding to a chill-day parametrization. It also includes a representation of the vertical profiles of light and nitrogen through the canopy (Mercardo et al., 2007)."
MOHC,HADGEM2-CC,Land Surface > Vegetation,Standard Properties > Description,"The land surface scheme represents 5 vegetation functional types (PFTs): broadleaf and needleleaf tree, C3 and C4 grass and shrub, the fractions of which can be specified or simulated by the model (Cox 2001). When simulated, fractional coverage of each PFT evolves due to competition between types based on carbon balance and available land area and is represented by Lotka-Voltera competition equations. As it does not explicitly simulate crop growth, crop areas are treated as natural grass. The impact of land-use is implemented by removing trees and shrubs in regions specified as agriculture. The representation of photosynthesis is that of Collatz et al. (1991) for C3-type photosynthesis and Collatz et al. (1992) for C4-type photosynthesis, as described in Cox et al. (1999). Photosynthesis is also directly sensitive to the leaf nitrogen concentrations (specified) and the leaf temperature. The phenological status alters the leaf area index (LAI) of the canopy and is soley a function of leaf temperature (with pre-specified tolerances to low temperatures) and includes the effects of leaf dropping and budburst in a way corresponding to a chill-day parametrization. It also includes a representation of the vertical profiles of light and nitrogen through the canopy (Mercardo et al., 2007)."
MOHC,HADGEM2-ES,Land Surface > Vegetation,Standard Properties > Description,"The land surface scheme represents 5 vegetation functional types (PFTs): broadleaf and needleleaf tree, C3 and C4 grass and shrub, the fractions of which can be specified or simulated by the model (Cox 2001). When simulated, fractional coverage of each PFT evolves due to competition between types based on carbon balance and available land area and is represented by Lotka-Voltera competition equations. As it does not explicitly simulate crop growth, crop areas are treated as natural grass. The impact of land-use is implemented by removing trees and shrubs in regions specified as agriculture. The representation of photosynthesis is that of Collatz et al. (1991) for C3-type photosynthesis and Collatz et al. (1992) for C4-type photosynthesis, as described in Cox et al. (1999). Photosynthesis is also directly sensitive to the leaf nitrogen concentrations (specified) and the leaf temperature. The phenological status alters the leaf area index (LAI) of the canopy and is soley a function of leaf temperature (with pre-specified tolerances to low temperatures) and includes the effects of leaf dropping and budburst in a way corresponding to a chill-day parametrization. It also includes a representation of the vertical profiles of light and nitrogen through the canopy (Mercardo et al., 2007)."
INPE,HADGEM2-ES,Land Surface > Vegetation,Standard Properties > Description,"The land surface scheme represents 5 vegetation functional types (PFTs): broadleaf and needleleaf tree, C3 and C4 grass and shrub, the fractions of which can be specified or simulated by the model (Cox 2001). When simulated, fractional coverage of each PFT evolves due to competition between types based on carbon balance and available land area and is represented by Lotka-Voltera competition equations. As it does not explicitly simulate crop growth, crop areas are treated as natural grass. The impact of land-use is implemented by removing trees and shrubs in regions specified as agriculture. The representation of photosynthesis is that of Collatz et al. (1991) for C3-type photosynthesis and Collatz et al. (1992) for C4-type photosynthesis, as described in Cox et al. (1999). Photosynthesis is also directly sensitive to the leaf nitrogen concentrations (specified) and the leaf temperature. The phenological status alters the leaf area index (LAI) of the canopy and is soley a function of leaf temperature (with pre-specified tolerances to low temperatures) and includes the effects of leaf dropping and budburst in a way corresponding to a chill-day parametrization. It also includes a representation of the vertical profiles of light and nitrogen through the canopy (Mercardo et al., 2007)."
MOHC,HADGEM2-CC,Land Surface > Carbon Cycle,Standard Properties > Description,"The land surface scheme simulates the storage of carbon in the terrestrial biosphere and its exchange with the atmosphere. Vegetation takes up carbon through photosynthesis and releases it through autotrophic respiration. The net balance (NPP) is allocated to root, wood and leaf carbon. Turnover of vegetation carbon falls as litter to the soil, which is representedf by the 4-pool soil carbon model RothC (Coleman and Jenkinson, 1999). Decomposition of soil organic material depends on a Q10 function of temperature (q10=2) and a function of soil moisture (Cox, 2001)."
MOHC,HADGEM2-ES,Land Surface > Carbon Cycle,Standard Properties > Description,"The land surface scheme simulates the storage of carbon in the terrestrial biosphere and its exchange with the atmosphere. Vegetation takes up carbon through photosynthesis and releases it through autotrophic respiration. The net balance (NPP) is allocated to root, wood and leaf carbon. Turnover of vegetation carbon falls as litter to the soil, which is representedf by the 4-pool soil carbon model RothC (Coleman and Jenkinson, 1999). Decomposition of soil organic material depends on a Q10 function of temperature (q10=2) and a function of soil moisture (Cox, 2001)."
INPE,HADGEM2-ES,Land Surface > Carbon Cycle,Standard Properties > Description,"The land surface scheme simulates the storage of carbon in the terrestrial biosphere and its exchange with the atmosphere. Vegetation takes up carbon through photosynthesis and releases it through autotrophic respiration. The net balance (NPP) is allocated to root, wood and leaf carbon. Turnover of vegetation carbon falls as litter to the soil, which is representedf by the 4-pool soil carbon model RothC (Coleman and Jenkinson, 1999). Decomposition of soil organic material depends on a Q10 function of temperature (q10=2) and a function of soil moisture (Cox, 2001)."
CSIRO-BOM,ACCESS1.0,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Standard Properties > Description,"The large-scale cloud scheme for liquid cloud is that of Smith (1990), in which cloud water and cloud amount are diagnosed from total moisture and liquid water potential temperature using a triangular probability distribution function. The width of this distribution is diagnosed from the variability of the moisture and temperature of the surrounding grid points. A representation of the difference between cloud area fraction and cloud volume fraction is made by subdividing a single model layer into three. HadGEM1 and later models introduced an updated version of the Wilson and Ballard (1999) microphysics scheme. Transfers between water categories (ice, liquid water, vapor, and rain) are calculated based on physical process equations using particle size information."
MOHC,HADGEM2-A,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Standard Properties > Description,"The large-scale cloud scheme for liquid cloud is that of Smith (1990), in which cloud water and cloud amount are diagnosed from total moisture and liquid water potential temperature using a triangular probability distribution function. The width of this distribution is diagnosed from the variability of the moisture and temperature of the surrounding grid points. A representation of the difference between cloud area fraction and cloud volume fraction is made by subdividing a single model layer into three. HadGEM1 and later models introduced an updated version of the Wilson and Ballard (1999) microphysics scheme. Transfers between water categories (ice, liquid water, vapor, and rain) are calculated based on physical process equations using particle size information."
MOHC,HADGEM2-CC,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Standard Properties > Description,"The large-scale cloud scheme for liquid cloud is that of Smith (1990), in which cloud water and cloud amount are diagnosed from total moisture and liquid water potential temperature using a triangular probability distribution function. The width of this distribution is diagnosed from the variability of the moisture and temperature of the surrounding grid points. A representation of the difference between cloud area fraction and cloud volume fraction is made by subdividing a single model layer into three. HadGEM1 and later models introduced an updated version of the Wilson and Ballard (1999) microphysics scheme. Transfers between water categories (ice, liquid water, vapor, and rain) are calculated based on physical process equations using particle size information."
MOHC,HADGEM2-ES,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Standard Properties > Description,"The large-scale cloud scheme for liquid cloud is that of Smith (1990), in which cloud water and cloud amount are diagnosed from total moisture and liquid water potential temperature using a triangular probability distribution function. The width of this distribution is diagnosed from the variability of the moisture and temperature of the surrounding grid points. A representation of the difference between cloud area fraction and cloud volume fraction is made by subdividing a single model layer into three. HadGEM1 and later models introduced an updated version of the Wilson and Ballard (1999) microphysics scheme. Transfers between water categories (ice, liquid water, vapor, and rain) are calculated based on physical process equations using particle size information."
INPE,HADGEM2-ES,Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Standard Properties > Description,"The large-scale cloud scheme for liquid cloud is that of Smith (1990), in which cloud water and cloud amount are diagnosed from total moisture and liquid water potential temperature using a triangular probability distribution function. The width of this distribution is diagnosed from the variability of the moisture and temperature of the surrounding grid points. A representation of the difference between cloud area fraction and cloud volume fraction is made by subdividing a single model layer into three. HadGEM1 and later models introduced an updated version of the Wilson and Ballard (1999) microphysics scheme. Transfers between water categories (ice, liquid water, vapor, and rain) are calculated based on physical process equations using particle size information."
CSIRO-BOM,ACCESS1.0,Land Surface > Soil > Hydrology,Standard Properties > Description,"The large-scale hydrology scheme (Gedney et al, 2003 and Clark and Gedney, 2008) is incorporated into the land surface soil hydrology. This allows for the deeper layers to become saturated and a water table to form. Deep run-off is lost through lateral flow below the water table. Excess (supersaturated) soil water (e.g. through snowmelt) is now drained into the soil layer below instead of simply run-off from the top layer. This increases soil moisture in the lower soil layers and so helps to reduce the water stress on vegetation following snowmelt in Northern Hemispheric continents."
MOHC,HADGEM2-A,Land Surface > Soil > Hydrology,Standard Properties > Description,"The large-scale hydrology scheme (Gedney et al, 2003 and Clark and Gedney, 2008) is incorporated into the land surface soil hydrology. This allows for the deeper layers to become saturated and a water table to form. Deep run-off is lost through lateral flow below the water table. Excess (supersaturated) soil water (e.g. through snowmelt) is now drained into the soil layer below instead of simply run-off from the top layer. This increases soil moisture in the lower soil layers and so helps to reduce the water stress on vegetation following snowmelt in Northern Hemispheric continents."
MOHC,HADGEM2-CC,Land Surface > Soil > Hydrology,Standard Properties > Description,"The large-scale hydrology scheme (Gedney et al, 2003 and Clark and Gedney, 2008) is incorporated into the land surface soil hydrology. This allows for the deeper layers to become saturated and a water table to form. Deep run-off is lost through lateral flow below the water table. Excess (supersaturated) soil water (e.g. through snowmelt) is now drained into the soil layer below instead of simply run-off from the top layer. This increases soil moisture in the lower soil layers and so helps to reduce the water stress on vegetation following snowmelt in Northern Hemispheric continents."
MOHC,HADGEM2-ES,Land Surface > Soil > Hydrology,Standard Properties > Description,"The large-scale hydrology scheme (Gedney et al, 2003 and Clark and Gedney, 2008) is incorporated into the land surface soil hydrology. This allows for the deeper layers to become saturated and a water table to form. Deep run-off is lost through lateral flow below the water table. Excess (supersaturated) soil water (e.g. through snowmelt) is now drained into the soil layer below instead of simply run-off from the top layer. This increases soil moisture in the lower soil layers and so helps to reduce the water stress on vegetation following snowmelt in Northern Hemispheric continents."
INPE,HADGEM2-ES,Land Surface > Soil > Hydrology,Standard Properties > Description,"The large-scale hydrology scheme (Gedney et al, 2003 and Clark and Gedney, 2008) is incorporated into the land surface soil hydrology. This allows for the deeper layers to become saturated and a water table to form. Deep run-off is lost through lateral flow below the water table. Excess (supersaturated) soil water (e.g. through snowmelt) is now drained into the soil layer below instead of simply run-off from the top layer. This increases soil moisture in the lower soil layers and so helps to reduce the water stress on vegetation following snowmelt in Northern Hemispheric continents."
CSIRO-BOM,ACCESS1.0,Land Ice,Standard Properties > Description,"The major ice sheets (Greenland and Antarctica), and minor ice caps (Ellesmere, Devon and Baffin islands, Iceland, Svalbard, Novaya and Severnaya Zemlya, and Stikine) are depicted as static ice. They are initialised with a snow depth of 50,000 mm of water equivalent. Further ablation or accumulation has an impact on sea level. Runoff follows the river routing scheme and enters the oceans at predefined river outflow points. Calving at the coastal boundaries is simulated through a fresh water flux to the ocean evenly distributed over the area of observed icebergs in both hemispheres. The value of the freshwater flux is calculated to exactly balance the time mean ice sheet surface mass balance over the preindustrial control simulation."
MOHC,HADGEM2-A,Land Ice,Standard Properties > Description,"The major ice sheets (Greenland and Antarctica), and minor ice caps (Ellesmere, Devon and Baffin islands, Iceland, Svalbard, Novaya and Severnaya Zemlya, and Stikine) are depicted as static ice. They are initialised with a snow depth of 50,000 mm of water equivalent. Further ablation or accumulation has an impact on sea level. Runoff follows the river routing scheme and enters the oceans at predefined river outflow points. Calving at the coastal boundaries is simulated through a fresh water flux to the ocean evenly distributed over the area of observed icebergs in both hemispheres. The value of the freshwater flux is calculated to exactly balance the time mean ice sheet surface mass balance over the preindustrial control simulation."
MOHC,HADGEM2-CC,Land Ice,Standard Properties > Description,"The major ice sheets (Greenland and Antarctica), and minor ice caps (Ellesmere, Devon and Baffin islands, Iceland, Svalbard, Novaya and Severnaya Zemlya, and Stikine) are depicted as static ice. They are initialised with a snow depth of 50,000 mm of water equivalent. Further ablation or accumulation has an impact on sea level. Runoff follows the river routing scheme and enters the oceans at predefined river outflow points. Calving at the coastal boundaries is simulated through a fresh water flux to the ocean evenly distributed over the area of observed icebergs in both hemispheres. The value of the freshwater flux is calculated to exactly balance the time mean ice sheet surface mass balance over the preindustrial control simulation."
MOHC,HADGEM2-ES,Land Ice,Standard Properties > Description,"The major ice sheets (Greenland and Antarctica), and minor ice caps (Ellesmere, Devon and Baffin islands, Iceland, Svalbard, Novaya and Severnaya Zemlya, and Stikine) are depicted as static ice. They are initialised with a snow depth of 50,000 mm of water equivalent. Further ablation or accumulation has an impact on sea level. Runoff follows the river routing scheme and enters the oceans at predefined river outflow points. Calving at the coastal boundaries is simulated through a fresh water flux to the ocean evenly distributed over the area of observed icebergs in both hemispheres. The value of the freshwater flux is calculated to exactly balance the time mean ice sheet surface mass balance over the preindustrial control simulation."
INPE,HADGEM2-ES,Land Ice,Standard Properties > Description,"The major ice sheets (Greenland and Antarctica), and minor ice caps (Ellesmere, Devon and Baffin islands, Iceland, Svalbard, Novaya and Severnaya Zemlya, and Stikine) are depicted as static ice. They are initialised with a snow depth of 50,000 mm of water equivalent. Further ablation or accumulation has an impact on sea level. Runoff follows the river routing scheme and enters the oceans at predefined river outflow points. Calving at the coastal boundaries is simulated through a fresh water flux to the ocean evenly distributed over the area of observed icebergs in both hemispheres. The value of the freshwater flux is calculated to exactly balance the time mean ice sheet surface mass balance over the preindustrial control simulation."
MOHC,HADGEM2-CC,Ocean > Vertical Physics > Mixed Layer,Standard Properties > Description,"The mixed layer is represented by the Kraus and Turner (1967) bulk mixed layer for tracers, together with a quadratic representation of the Large et al. (1994) scheme for momentum mixing in the mixed layer. Vertical mixing beneath the mixed layer is performed by the Peters et al. (1988) scheme; this is a Richardson-number dependent scheme, and its parameters have been altered to better fit the observed data in their paper by Cusack (2004). This change reduces the excessive noise near the ocean surface. There is also a modification to the standard vertical mixing scheme to enhance the mixing at the base of the mixed layer, to increase the communication between the ocean surface and the deeper layers and make the profile more similar to that observed."
MOHC,HADGEM2-ES,Ocean > Vertical Physics > Mixed Layer,Standard Properties > Description,"The mixed layer is represented by the Kraus and Turner (1967) bulk mixed layer for tracers, together with a quadratic representation of the Large et al. (1994) scheme for momentum mixing in the mixed layer. Vertical mixing beneath the mixed layer is performed by the Peters et al. (1988) scheme; this is a Richardson-number dependent scheme, and its parameters have been altered to better fit the observed data in their paper by Cusack (2004). This change reduces the excessive noise near the ocean surface. There is also a modification to the standard vertical mixing scheme to enhance the mixing at the base of the mixed layer, to increase the communication between the ocean surface and the deeper layers and make the profile more similar to that observed."
CSIRO-BOM,ACCESS1.3,Land Surface > Snow,Standard Properties > Description,"The model computes the snow density, temperature and thickness of
three snowpack layers. The following processes are represented:
snow deposition, snow albedo, snow accumulation, snow
metamorphism and thermal properties, snow melting."
MOHC,HADGEM2-A,Aerosols,Standard Properties > Description,"The model includes interactive schemes for sulphate, sea salt, black carbon from fossil-fuel emissions, organic carbon from fossil-fuel emissions, mineral dust, and biomass-burning aerosols. The model also includes a fixed monthly climatology of mass-mixing ratios of secondary organic aerosols from terpene emissions (biogenic aerosols)."
MOHC,HADGEM2-CC,Aerosols,Standard Properties > Description,"The model includes interactive schemes for sulphate, sea salt, black carbon from fossil-fuel emissions, organic carbon from fossil-fuel emissions, mineral dust, and biomass-burning aerosols. The model also includes a fixed monthly climatology of mass-mixing ratios of secondary organic aerosols from terpene emissions (biogenic aerosols)."
MOHC,HADGEM2-ES,Aerosols,Standard Properties > Description,"The model includes interactive schemes for sulphate, sea salt, black carbon from fossil-fuel emissions, organic carbon from fossil-fuel emissions, mineral dust, and biomass-burning aerosols. The model also includes a fixed monthly climatology of mass-mixing ratios of secondary organic aerosols from terpene emissions (biogenic aerosols)."
INPE,HADGEM2-ES,Aerosols,Standard Properties > Description,"The model includes interactive schemes for sulphate, sea salt, black carbon from fossil-fuel emissions, organic carbon from fossil-fuel emissions, mineral dust, and biomass-burning aerosols. The model also includes a fixed monthly climatology of mass-mixing ratios of secondary organic aerosols from terpene emissions (biogenic aerosols)."
